1类置信率,2类置信率,3类置信率,预测分类,实际分类,预测正确
9.73E-10,1,1.72E-10,2,2,1
3.42E-10,1,3.75E-10,2,2,1
9.32E-10,1,1.61E-09,2,2,1
3.88E-10,1,3.25E-09,2,2,1
1.17E-09,1,5.50E-09,2,2,1
5.03E-11,1,1.35E-10,2,2,1
6.17E-08,0.999999881,3.88E-08,2,2,1
2.33E-09,1,6.38E-09,2,2,1
4.10E-08,1,1.68E-08,2,2,1
5.08E-07,0.999999404,1.77E-07,2,2,1
1.23E-06,0.999998689,8.23E-08,2,2,1
2.86E-06,0.999997139,3.96E-08,2,2,1
2.77E-07,0.999999762,2.24E-08,2,2,1
1.73E-07,0.999999762,9.78E-08,2,2,1
1.06E-06,0.999998689,2.94E-07,2,2,1
1.22E-07,0.999999881,5.45E-08,2,2,1
1.50E-07,0.999999762,6.20E-08,2,2,1
3.18E-05,0.999966741,1.42E-06,2,2,1
7.02E-05,0.999925852,3.88E-06,2,2,1
6.79E-06,0.999992967,2.48E-07,2,2,1
9.47E-06,0.999989986,5.59E-07,2,2,1
3.03E-06,0.999996662,3.78E-07,2,2,1
1.09E-06,0.999998569,3.98E-07,2,2,1
3.33E-06,0.999996305,4.03E-07,2,2,1
8.27E-06,0.999991536,2.98E-07,2,2,1
3.95E-07,0.999999642,3.10E-08,2,2,1
7.13E-05,0.999928594,8.41E-08,2,2,1
2.14E-06,0.999997854,2.07E-08,2,2,1
0.000599864,0.999399543,6.13E-07,2,2,1
1.35E-05,0.99998641,1.59E-07,2,2,1
8.49E-07,0.999998927,2.34E-07,2,2,1
6.98E-08,0.999999881,4.96E-08,2,2,1
8.83E-06,0.999989867,1.25E-06,2,2,1
1.68E-05,0.999981165,2.03E-06,2,2,1
6.53E-05,0.999931693,3.01E-06,2,2,1
0.000566853,0.999426842,6.30E-06,2,2,1
0.00035028,0.999637246,1.25E-05,2,2,1
3.32E-06,0.999996066,6.39E-07,2,2,1
1.13E-09,1,1.01E-09,2,2,1
1.54E-11,1,1.57E-11,2,2,1
5.10E-09,1,7.94E-10,2,2,1
5.39E-11,1,1.30E-11,2,2,1
3.53E-07,0.999999642,5.03E-08,2,2,1
3.96E-08,1,1.24E-08,2,2,1
6.41E-06,0.999993324,2.23E-07,2,2,1
5.37E-08,1,7.92E-09,2,2,1
1.07E-08,1,1.68E-09,2,2,1
3.40E-10,1,1.35E-10,2,2,1
1.29E-08,1,4.27E-09,2,2,1
1.43E-11,1,1.26E-11,2,2,1
5.48E-10,1,1.68E-10,2,2,1
1.37E-10,1,2.04E-11,2,2,1
5.63E-12,1,2.37E-12,2,2,1
4.46E-11,1,4.63E-11,2,2,1
1.61E-08,1,6.39E-09,2,2,1
7.11E-09,1,3.65E-09,2,2,1
6.02E-11,1,7.62E-12,2,2,1
5.80E-09,1,4.87E-10,2,2,1
1.40E-05,0.999985814,8.13E-08,2,2,1
7.00E-06,0.999992728,2.91E-07,2,2,1
0.000245597,0.999750435,3.94E-06,2,2,1
2.02E-05,0.999978662,1.10E-06,2,2,1
